the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,29408,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,28534,>1m <=5m,ATBI DATABASE,,1446839369000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839369000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000065EB160AC3F254C085B26E9835BB4140,29425,0101000020110F0000711E756898CA61C1DC677181DA1F5041,28549,>1m <=5m,ATBI DATABASE,,1446839376000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246530,3927928,35.462566,-83.79315,Eagle Creek,,1798.396851,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839376000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000097B4263987EE54C01C93658B9BBC4140,29435,0101000020110F00001D4C31ECFFC661C15235B7C64F215041,28559,>1m <=5m,ATBI DATABASE,,1446839382000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252568,3928972,35.47349,-83.726999,Hazel Creek,Hazel Creek,1702.226807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839382000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F94B6533A2E554C0A5134F9EFBBE4140,28863,0101000020110F0000A9A9F50B72BF61C17E2A80FEC9235041,28568,>1m <=5m,ATBI DATABASE,,1446839386000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,265235,3930691,35.492047,-83.588021,Forney Creek,,3391.298096,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839386000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000009102C28953E354C071E65C2CBABB4140,29446,0101000020110F0000091291657CBD61C1B1AB9CC064205041,28571,>1m <=5m,ATBI DATABASE,,1446839388000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268433,3927784,35.466612,-83.55197,Fontana Lake-Tuckasegee River,Goldmine Branch,2377.522217,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839388000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004357646CCFDC54C05D35105160BD4140,29456,0101000020110F000075FD98AAF3B761C1D56016FE1C225041,28579,>1m <=5m,ATBI DATABASE,,1446839392000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277709,3928979,35.479495,-83.450156,Deep Creek,,3456.295166,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839392000,GRSM,UNR,,4,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000009AADECB51C654C0FCC4AFCF51D94140,29472,0101000020110F00007FDE41B6D9A461C18F98E8E94B3F5041,28594,>1m <=5m,ATBI DATABASE,,1446839402000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310113,3952461,35.697802,-83.098739,Lower Cataloochee Creek,,3778.782227,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839402000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149984000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E610000089034669DFC754C06E53B718DBD94140,29471,0101000020110F00000AA507682BA661C1A0188C7DDB3F5041,28593,>1m <=5m,ATBI DATABASE,,1446839401000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307927,3952973,35.701992,-83.123007,Big Creek,Swallow Fork,5792.12207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839401000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000918F6E6810C454C07C49B9B447CE4140,29473,0101000020110F00000EE6F455EFA261C1AA7EFCF7C1335041,28595,>1m <=5m,ATBI DATABASE,,1446839402000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313101,3942826,35.611556,-83.063498,Upper Cataloochee Creek,,4269.620117,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839402000,GRSM,UNR,,10,,,Cataloochee Divide Trail,Cataloochee Entrance Road,Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148083200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed,No,day,prob.,ATBI
0101000020E610000065AD67BCD8C354C00D249185C1CB4140,29474,0101000020110F00000DAAB40DC0A261C177D972001F315041,28596,>1m <=5m,ATBI DATABASE,,1446839403000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940632,35.591836,-83.0601,Lower Johnathans Creek,,4338.147461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839403000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Rubus_allegheniensis,Rubus  allegheniensis,35418,Allegheny Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
