the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F7CD4964C9F754C0BDC7BA34D5BB4140,30238,0101000020110F00007FCB50E8DCCE61C1EBFB1AF180205041,29401,>1m <=5m,ATBI DATABASE,,1446839846000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239419,3928673,35.467437,-83.871663,Lake Cheoah-Little Tennessee River,Twentymile Creek,1744.880005,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839846000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061856000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000BE35BF808FEA54C05DF344C699B94140,30239,0101000020110F000004616245A1C361C14AEBB51E2D1E5041,29402,>1m <=5m,ATBI DATABASE,,1446839847000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258124,3926212,35.449998,-83.665005,Lower Fontana Lake-Little Tennessee River,,1824.621826,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839847000,GRSM,UNR,,4,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1089676800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E6100000116B0D7F8FEA54C06AF23ED5FBB94140,30240,0101000020110F0000A4F5F143A1C361C1574CCE5A931E5041,29403,>1m <=5m,ATBI DATABASE,,1446839847000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258133,3926544,35.452991,-83.665004,Lower Fontana Lake-Little Tennessee River,,1966.214722,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839847000,GRSM,UNR,,8,,,Pilkey/Posey cemetery access,Lakeview Drive East Parking #4,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1089676800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E610000006B91422E3CD54C047B0BCAED6E34140,30260,0101000020110F000061CFB81747AB61C1AE9C5B924D4A5041,29423,>1m <=5m,ATBI DATABASE,,1446839860000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299619,3961813,35.779982,-83.216984,Cosby Creek,Fletcher Spring Branch,1701.694336,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839860000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-483235200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000000A5E85784ACD54C004AED941DAE04140,30263,0101000020110F000013A1BD6FC5AA61C17A6A6F6D2D475041,29426,>1m <=5m,ATBI DATABASE,,1446839862000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300403,3959206,35.756654,-83.207666,Cosby Creek,Cosby Creek,2171.349609,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839862000,GRSM,UNR,,4,,,Low Gap Trail,Cosby Picnic Area Parking C,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1061251200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000011F6F32703CD54C0CA0F223A00E04140,30264,0101000020110F0000C88A6EDE88AA61C15FDAA74049465041,29427,>1m <=5m,ATBI DATABASE,,1446839862000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300780,3958459,35.75,-83.203314,Cosby Creek,Cosby Creek,2439.526367,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839862000,GRSM,UNR,,6,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,524966400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000C8497DC6F6CC54C02A6FA5A9EEDF4140,29777,0101000020110F0000A2FB9A5A7EAA61C10CD129DF36465041,29429,>1m <=5m,ATBI DATABASE,,1446839863000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300847,3958398,35.749464,-83.202558,Cosby Creek,Cosby Creek,2474.053223,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839863000,GRSM,UNR,,7,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,524880000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000CD3B538AEBCC54C0192CE631D4DF4140,29936,0101000020110F000053D0E0CF74AA61C1CFAE862C1B465041,29430,>1m <=5m,ATBI DATABASE,,1446839864000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300907,3958307,35.748656,-83.201872,Cosby Creek,Cosby Creek,2523.630615,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839864000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,461980800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000893D10934FCB54C0ECF12E5695DA4140,30022,0101000020110F0000D599E5ED16A961C105A30A479E405041,29431,>1m <=5m,ATBI DATABASE,,1446839864000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303080,3953710,35.707676,-83.176728,Big Creek,Gunter Fork,3307.340332,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839864000,GRSM,UNR,,7,,,Gunter Fork Trail,Cosby Campground Road B,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931996800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000C56C25AE62CA54C08E06829DEEDB4140,26090,0101000020110F0000354C26BC4DA861C18C5D407007425041,29432,>1m <=5m,ATBI DATABASE,,1446839864000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304414,3954850,35.718213,-83.162269,Big Creek,Big Creek,3035.061035,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839864000,GRSM,UNR,,5,,,Swallow Fork Trail,Cosby Campground Road B,Valid,Salvelinus_fontinalis,Salvelinus  fontinalis,33186,Brook Trout,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1029628800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Salmoniformes, , , , ,Salmonidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
