the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000853D3711F6E454C01CFD228799BA4140,30323,0101000020110F000061078ADADFBE61C1FC6E10C6371F5041,29485,>1m <=5m,ATBI DATABASE,,1446839892000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266089,3926867,35.457803,-83.577515,Fontana Lake-Tuckasegee River,,1799.355591,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839892000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056326400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F214E14258E054C033304F47FDBE4140,30328,0101000020110F0000EFD63C25F4BA61C1EE41D3B9CB235041,29489,>1m <=5m,ATBI DATABASE,,1446839894000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272733,3930503,35.492098,-83.505383,Noland Creek,Noland Creek,2485.719727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839894000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000F482F5B4CE054C0E555532221BE4140,30329,0101000020110F00003469D408EABA61C17D8E6A19E6225041,29490,>1m <=5m,ATBI DATABASE,,1446839895000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272780,3929756,35.485379,-83.504656,Noland Creek,Noland Creek,2333.887207,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839895000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000314FECD62FE354C053E28EC5E3BA4140,30326,0101000020110F00009C91F3135EBD61C1C9FFC92F851F5041,29488,>1m <=5m,ATBI DATABASE,,1446839894000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268612,3927053,35.460069,-83.549791,Fontana Lake-Tuckasegee River,,1922.019287,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839894000,GRSM,UNR,,4,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000025F917C283DA54C06239CDF87ABD4140,30335,0101000020110F00009408E88F00B661C1AD15F5CA38225041,29495,>1m <=5m,ATBI DATABASE,,1446839898000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3928989,35.480308,-83.414288,Deep Creek,Indian Creek,2059.033936,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839898000,GRSM,UNR,,6,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,30336,0101000020110F00003169FD6601B661C1C1933AC27D225041,29496,>1m <=5m,ATBI DATABASE,,1446839898000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839898000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000006359F1A3FDB54C0A55FF93882BD4140,30332,0101000020110F00007A50CCAC9FB661C10C09E15A40225041,29493,>1m <=5m,ATBI DATABASE,,1446839896000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279929,3929039,35.48053,-83.425723,Deep Creek,Deep Creek,1926.151367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839896000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000039A636EA61CC54C0C3716130C1E14140,30347,0101000020110F0000B0133CEDFFA961C1803A08201F485041,29507,>1m <=5m,ATBI DATABASE,,1446839903000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301704,3959959,35.763701,-83.193472,Cosby Creek,Riding Fork,2543.070557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839903000,GRSM,UNR,,8,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A92FDE9EE6CC54C034ABD64DDFDF4140,30346,0101000020110F0000508438A270AA61C1739F9FCC26465041,29506,>1m <=5m,ATBI DATABASE,,1446839903000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300935,3958344,35.748995,-83.201572,Cosby Creek,Cosby Creek,2510.041504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839903000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A3F1C5905CCD54C085F679B2F9DF4140,30345,0101000020110F00000AFEE9CDD4AA61C1C8204B6B42465041,29505,>1m <=5m,ATBI DATABASE,,1446839903000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300286,3958448,35.749801,-83.208771,Cosby Creek,,2513.577393,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839903000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Sambucus_nigra_canadensis,Sambucus  nigra canadensis,33189,Black Elder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
