the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008EB4AF9701E054C025896E951EBA4140,31433,0101000020110F000054D4A589AABA61C11F9B1B96B71E5041,30585,>1m <=5m,ATBI DATABASE,,1446840484000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273106,3926270,35.454052,-83.500093,Fontana Lake-Tuckasegee River,Canebrake Branch,1707.018799,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840484000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AF7A025936DF54C0FB0496848DB74140,31443,0101000020110F0000614CFAEBFDB961C113A4A2990A1C5041,30593,>1m <=5m,ATBI DATABASE,,1446840488000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274176,3924017,35.433999,-83.487688,Fontana Lake-Tuckasegee River,Mountain Branch,1693.710693,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840488000,GRSM,UNR,,2,,,Noland Creek Trail,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000006DC2AC993ADF54C09CBEAAFC70B74140,31442,0101000020110F0000DBD5948801BA61C18AE857DCEC1B5041,30592,>1m <=5m,ATBI DATABASE,,1446840488000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274150,3923921,35.433129,-83.487948,Fontana Lake-Tuckasegee River,Mountain Branch,1686.260376,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446840488000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1212278400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000868EA18C46DF54C04ADECEF85DB84140,31440,0101000020110F00004FCB8DAE0BBA61C130AFB5E4E31C5041,30590,>1m <=5m,ATBI DATABASE,,1446840487000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274104,3924725,35.440361,-83.488677,Fontana Lake-Tuckasegee River,Tuckasegee River,1694.357422,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840487000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000081CC0E5142DF54C032E23F3341B84140,31441,0101000020110F0000D156461608BA61C128A68FE6C51C5041,30591,>1m <=5m,ATBI DATABASE,,1446840487000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274125,3924627,35.439483,-83.488419,Fontana Lake-Tuckasegee River,Tuckasegee River,1671.868408,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840487000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1343520000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000ADAD669DD1DF54C0727A2362E6B94140,31436,0101000020110F0000CD8D4CCA81BA61C1C4BBC0FD7C1E5041,30586,>1m <=5m,ATBI DATABASE,,1446840485000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273367,3926073,35.452336,-83.497165,Fontana Lake-Tuckasegee River,Tuckasegee River,1702.038208,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840485000,GRSM,UNR,,2,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000077EB6777C9DF54C0EC59A451CDB94140,31437,0101000020110F0000CEA6A9DE7ABA61C101A2F1DB621E5041,30587,>1m <=5m,ATBI DATABASE,,1446840485000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273410,3925987,35.451572,-83.496668,Fontana Lake-Tuckasegee River,Tuckasegee River,1711.168945,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840485000,GRSM,UNR,,2,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1212278400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000253A1094C6DF54C064F6A99FC1B94140,31438,0101000020110F0000BE24BD6A78BA61C1285075AA561E5041,30588,>1m <=5m,ATBI DATABASE,,1446840486000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273425,3925947,35.451215,-83.496491,Fontana Lake-Tuckasegee River,Tuckasegee River,1689.954834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840486000,GRSM,UNR,,6,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000659AF81CB8DF54C0ACC1E13091B94140,31439,0101000020110F00002E8FB3216CBA61C187C3C82B241E5041,30589,>1m <=5m,ATBI DATABASE,,1446840486000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273501,3925781,35.449737,-83.495608,Fontana Lake-Tuckasegee River,Tuckasegee River,1683.970337,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840486000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D697309063DD54C0358BBE2CF4BD4140,31445,0101000020110F0000D6824A7B71B861C1D6F2B134B7225041,30595,>1m <=5m,ATBI DATABASE,,1446840490000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276901,3929500,35.484007,-83.459198,Fontana Lake-Tuckasegee River,Long Branch,3597.502686,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840490000,GRSM,UNR,,3,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1066435200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000004A5E2B0E98D054C0BDE0CD0698CD4140,31474,0101000020110F00006B2F7B9793AD61C14E8098720A335041,30623,>1m <=5m,ATBI DATABASE,,1446840506000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295352,3942621,35.606195,-83.259277,Upper Raven Fork,Ramp Cove Branch,3490.556885,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446840506000,GRSM,UNR,,9,,,Enloe Creek Trail,Straight Fork Road,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933206400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,by hand, , ,cert,INHS plant survey
