the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001534268AB1FB54C083EAAFEFB4BF4140,37071,0101000020110F0000EFF259552ED261C1AF50114F8B245041,36529,>1m <=5m,ATBI DATABASE,,1446843747000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233978,3932194,35.497702,-83.932707,Chilhowee Lake,Dalton Gap Branch,1674.55835,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446843747000,GRSM,UNR,,5,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,311817600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000A78A905773E154C09B358FFB4AB84140,37093,0101000020110F0000F638EA90E4BB61C1A19F2419D01C5041,36551,>1m <=5m,ATBI DATABASE,,1446843759000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271017,3924739,35.439781,-83.522661,Fontana Lake-Tuckasegee River,Tuckasegee River,1667.375366,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446843759000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931219200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008B0DE55DF8DB54C09A0A0074A9BA4140,37095,0101000020110F000055BBCB043DB761C1D096E760481F5041,36553,>1m <=5m,ATBI DATABASE,,1446843761000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278842,3926597,35.458289,-83.43703,Deep Creek,Deep Creek,1843.741455,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446843761000,GRSM,UNR,,8,,,Noland Divide Trail,East Deep Creek Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,499824000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000ADE05E693ED354C06461BD8E8EC04140,37097,0101000020110F0000749C4BB8D3AF61C1621B9C566E255041,36555,>1m <=5m,ATBI DATABASE,,1446843762000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291337,3931409,35.504344,-83.30068,Lower Oconaluftee River,Oconaluftee River,2017.195679,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446843762000,GRSM,UNR,,4,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,621043200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000BE1974C328D354C016963C0181C14140,37098,0101000020110F0000C61D8B55C1AF61C1CA7D034A6B265041,36556,>1m <=5m,ATBI DATABASE,,1446843763000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291476,3932227,35.511743,-83.299359,Lower Raven Fork,Raven Fork,2022.405273,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446843763000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,621043200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000C587E13C5FDD54C0CC947B26E0DC4140,37094,0101000020110F0000CA72DACE6DB861C19CF3BA1C04435041,36552,>1m <=5m,ATBI DATABASE,,1446843759000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277595,3956300,35.725584,-83.458934,Dudley Creek,Dudley Creek,1609.399658,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446843759000,GRSM,UNR,,4,,,Little Dudley Concession Horse Trail,Dudley Creek Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,592617600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F1CEACC86FE254C084ADAC4904D84140,37092,0101000020110F0000FFA00AF7BABC61C1E65C1823EF3D5041,36550,>1m <=5m,ATBI DATABASE,,1446843758000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270327,3952271,35.687624,-83.538069,West Prong Little Pigeon River Upper,Fighting Creek,1447.476807,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446843758000,GRSM,UNR,,6,,,Cove Mountain Trail,Sugarlands Headquarters Parking C,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1280361600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,electrofishing,No, ,cert,Fish Parasites
0101000020E61000005D6A579062E954C0CAAF123881D64140,37091,0101000020110F00009498F1AEA1C261C14A91146C5A3C5041,36549,>1m <=5m,ATBI DATABASE,,1446843757000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260465,3951220,35.675812,-83.646637,Little River-Goshen Prong,Little River,1698.720459,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446843757000,GRSM,UNR,,7,,,Curry Mountain Trail,Little River Gorge Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-932256000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000B52EAD9AC8ED54C0D4B77AC548D54140,37090,0101000020110F00009EF6A1075EC661C10B2226C6133B5041,36548,>1m <=5m,ATBI DATABASE,,1446843757000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254214,3950332,35.666276,-83.715365,Little River-Rudd Branch,Rush Branch,1369.768066,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446843757000,GRSM,UNR,,3,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,374716800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000007CCD3B79B1F154C0553845F131CD4140,37089,0101000020110F000040EC8711B0C961C106B700D09F325041,36547,>1m <=5m,ATBI DATABASE,,1446843756000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248485,3943475,35.60308,-83.776453,Abrams Creek Upper,Stillhouse Branch,1896.210449,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446843756000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Campground Entrance Road,Valid,Semotilus_atromaculatus,Semotilus  atromaculatus,36399,Creek Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,595382400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Cyprinidae, ,~,unspecified, ,day,cert,Historic Fishes
