the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F503F196F8F554C0F4F3159A27BE4140,44112,0101000020110F0000E43DA02652CD61C12C7E6CD8EC225041,43592,>1m <=5m,ATBI DATABASE,,1446847685000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242052,3930611,35.485577,-83.843294,Lake Cheoah-Little Tennessee River,,2199.261963,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847685000,GRSM,UNR,,10,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898560000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C25F4F180DF554C0E4E2C555B4BE4140,44117,0101000020110F0000B1C22B258ACC61C1FEA46EA37F235041,43597,>1m <=5m,ATBI DATABASE,,1446847687000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243370,3931050,35.489872,-83.82892,Lake Cheoah-Little Tennessee River,,2764.038574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847687000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895622400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AAFA97CF32F554C00F97BB27B3BE4140,44114,0101000020110F00005D06682DAACC61C199C760687E235041,43594,>1m <=5m,ATBI DATABASE,,1446847686000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243161,3931052,35.489836,-83.831222,Lake Cheoah-Little Tennessee River,,2619.690674,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847686000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004545D9B10AF454C0CB8CA4D577BF4140,44131,0101000020110F00008C3690AFAECB61C16840A7914B245041,43611,>1m <=5m,ATBI DATABASE,,1446847694000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244820,3931671,35.495838,-83.813149,Eagle Creek,,3797.356445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847694000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000072514E3033F454C029BC06A8E9BE4140,44127,0101000020110F0000E977CC13D1CB61C1CC72FA41B7235041,43607,>1m <=5m,ATBI DATABASE,,1446847692000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244582,3931196,35.491499,-83.81562,Eagle Creek,Proctor Branch,3760.021973,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847692000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000027038EA467F454C08BEB3A89C5BE4140,44124,0101000020110F00008A256AA0FDCB61C1C5DCA29491235041,43604,>1m <=5m,ATBI DATABASE,,1446847690000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244288,3931082,35.490397,-83.818822,Lake Cheoah-Little Tennessee River,Proctor Branch,3490.167969,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847690000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C61563D58AF454C03CC40C7BC4BE4140,44123,0101000020110F000089669E831BCC61C1D316D07A90235041,43603,>1m <=5m,ATBI DATABASE,,1446847690000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244093,3931084,35.490364,-83.82097,Lake Cheoah-Little Tennessee River,Proctor Branch,3392.581787,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847690000,GRSM,UNR,,5,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AF0E1D8EB0F454C0A2D4D099C3BE4140,44122,0101000020110F0000595E148D3BCC61C16E66DF8F8F235041,43602,>1m <=5m,ATBI DATABASE,,1446847689000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243884,3931087,35.490337,-83.823272,Lake Cheoah-Little Tennessee River,,3272.786133,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847689000,GRSM,UNR,,8,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864259200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000069A076AEFEF454C027CBCE84A1BE4140,44118,0101000020110F0000810C62E77DCC61C169B2EF026C235041,43598,>1m <=5m,ATBI DATABASE,,1446847688000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243448,3930984,35.489297,-83.82804,Lake Cheoah-Little Tennessee River,,2900.774902,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847688000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000000F90CF2EB6F454C0CC60CE64A6BE4140,44120,0101000020110F0000830AAA5440CC61C14AF9B21871235041,43600,>1m <=5m,ATBI DATABASE,,1446847689000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243850,3930989,35.489446,-83.823615,Lake Cheoah-Little Tennessee River,Proctor Branch,3103.580566,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847689000,GRSM,UNR,,8,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,864172800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009AC0F1D856F254C01C672DEE07BD4140,44138,0101000020110F0000466D43853CCA61C1712DB8CFC0215041,43618,>1m <=5m,ATBI DATABASE,,1446847698000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247174,3929490,35.476798,-83.786547,Eagle Creek,,2074.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446847698000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Setophaga_pensylvanica,Setophaga  pensylvanica,36694,Chestnut-sided Warbler,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,896054400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Parulidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
