the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000075D7BCC8BF754C02C39DD68B6BA4140,49451,0101000020110F00003571B698A8CE61C18D0855E3551F5041,48926,>1m <=5m,ATBI DATABASE,,1446850671000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239732,3927692,35.458685,-83.867903,Lake Cheoah-Little Tennessee River,Little Tennessee River,1542.627441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446850671000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000095259AF6AE954C02CED5D4E8CB84140,49494,0101000020110F00007039A594A8C261C1509DD731141D5041,48965,>1m <=5m,ATBI DATABASE,,1446850692000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259722,3925256,35.441775,-83.647132,Lower Fontana Lake-Little Tennessee River,Little Tennessee River,1846.630737,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446850692000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000099FB6DADE1CC54C09C0384165FE04140,49502,0101000020110F000008CF7B6F6CAA61C182275F86AC465041,48971,>1m <=5m,ATBI DATABASE,,1446850696000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300972,3958776,35.752895,-83.20127,Cosby Creek,,2396.396973,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446850696000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000110AA06427CF54C0EAC8875C0DD04140,49498,0101000020110F0000166B9A7C5AAC61C139693CEE9B355041,48969,>1m <=5m,ATBI DATABASE,,1446850695000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297439,3944705,35.625401,-83.236775,Upper Raven Fork,,4667.037109,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446850695000,GRSM,UNR,,6,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933292800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000632DDBDA04CA54C07B3246BE27C74140,49503,0101000020110F00008D1C8F0CFEA761C164968030512C5041,48972,>1m <=5m,ATBI DATABASE,,1446850696000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304537,3936832,35.555894,-83.156542,Upper Cataloochee Creek,,5167.756836,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446850696000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001165DF7DC4CE54C0E9975D37F2CE4140,49501,0101000020110F000031F4607D06AC61C10B480B1A74345041,48970,>1m <=5m,ATBI DATABASE,,1446850695000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297964,3943734,35.61676,-83.230739,Straight Fork Raven Fork,Hyatt Creek,3685.529297,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446850695000,GRSM,UNR,,4,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998870400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,49495,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,48966,>1m <=5m,ATBI DATABASE,,1446850693000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446850693000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-631152000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000006D3D1392B3D854C00C029DDC7EC94140,49497,0101000020110F00007EF2D55376B461C1696B35B5C22E5041,48968,>1m <=5m,ATBI DATABASE,,1446850694000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,283789,3939340,35.574177,-83.385956,Deep Creek,,5006.51709,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446850694000,GRSM,UNR,,4,,,Thomas Divide Trail,Newfound Gap Road South,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009411C4CAFFDD54C09F841A114ED74140,49496,0101000020110F00007F74B22AF6B861C1EA8BF199303D5041,48967,>1m <=5m,ATBI DATABASE,,1446850693000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276587,3951494,35.682063,-83.468733,Baskins Creek,Baskins Creek,3162.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446850693000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000006A67D08451EA54C04B5C1347A8CD4140,49493,0101000020110F00006773BEA06CC361C1832B6F6C1B335041,48964,>1m <=5m,ATBI DATABASE,,1446850692000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,258937,3943587,35.606691,-83.661221,Little River-Crooked Creek,Sams Creek,2716.58252,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446850692000,GRSM,UNR,,6,,,Thunderhead Prong Quiet Walkway,Upper Tremont Road,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000001E5FD3672DF154C0943DB62364CA4140,49477,0101000020110F0000A0AE30E73FC961C107185920B22F5041,48951,>1m <=5m,ATBI DATABASE,,1446850685000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249147,3941024,35.581174,-83.768392,Abrams Creek Upper,Maynard Creek,3371.639404,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446850685000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Silene_stellata,Silene  stellata,36999,WidowÆs-frill,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,year,cert,Fridley Veg Plots
