the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D1A4F96893E054C099AAD21B90BD4140,51472,0101000020110F000005AC6C6126BB61C18C7579D64E225041,50948,>1m <=5m,ATBI DATABASE,,1446851830000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272374,3929275,35.480954,-83.508993,Noland Creek,Noland Creek,2222.125488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446851830000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B974227A5FC654C0F3976CF582D94140,51496,0101000020110F0000385EBB54E5A461C1E29003507F3F5041,50972,>1m <=5m,ATBI DATABASE,,1446851845000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310041,3952629,35.699302,-83.099574,Lower Cataloochee Creek,,3988.675537,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446851845000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1001030400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004D6CFFDCEDCC54C00914814F4BD24140,51487,0101000020110F0000AB0EEFC876AA61C1C32535B0F3375041,50963,>1m <=5m,ATBI DATABASE,,1446851839000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300631,3946577,35.642916,-83.202014,Straight Fork Raven Fork,,5181.721191,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446851839000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000005D67CA8150CD54C0949AB7967BD14140,51486,0101000020110F0000AC852390CAAA61C1591B5A9C1A375041,50962,>1m <=5m,ATBI DATABASE,,1446851839000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300070,3945886,35.636577,-83.208035,Straight Fork Raven Fork,,4352.775391,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446851839000,GRSM,UNR,,5,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,51500,0101000020110F000006698CCA5FA261C1D563EBD176385041,50976,>1m <=5m,ATBI DATABASE,,1446851846000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446851846000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,51498,0101000020110F00002469CBC5E8A361C1385EE83A63305041,50974,>1m <=5m,ATBI DATABASE,,1446851846000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446851846000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001FA6961020C654C043D3A1F97AC94140,51497,0101000020110F00003A7A9379AFA461C1CC2F44A6BE2E5041,50973,>1m <=5m,ATBI DATABASE,,1446851845000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310095,3938728,35.574059,-83.095703,Lower Johnathans Creek,,4946.144043,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446851845000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000F587C1576FC654C0AD13D8223DC94140,51495,0101000020110F000087AA44CEF2A461C1DB443C147E2E5041,50971,>1m <=5m,ATBI DATABASE,,1446851844000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309652,3938528,35.572171,-83.100542,Upper Cataloochee Creek,Hemphill Creek,5068.95752,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446851844000,GRSM,UNR,,6,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000DE669E1A97C654C0FD2B0C1A05C94140,51494,0101000020110F000016F92D9314A561C17C162B92432E5041,50970,>1m <=5m,ATBI DATABASE,,1446851844000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309428,3938343,35.570461,-83.102969,Upper Cataloochee Creek,Hemphill Creek,5173.539551,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446851844000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000AE7E37A0AFC654C0E2555F2823C84140,51493,0101000020110F00008FDCBE6629A561C14E983CAA572D5041,50969,>1m <=5m,ATBI DATABASE,,1446851843000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309276,3937581,35.563566,-83.104465,Upper Johnathans Creek,,5530.794434,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446851843000,GRSM,UNR,,7,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Smilax_herbacea,Smilax  herbacea,37282,Smooth Carrion-flower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,by hand,No,day,cert,ATBI
