the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BD94B53EA6FA54C0B3BF7C4A7FBC4140,51593,0101000020110F000036B6E7514BD161C19F56BD4F32215041,51069,>1m <=5m,ATBI DATABASE,,1446851898000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235376,3929368,35.472628,-83.916393,Lake Cheoah-Little Tennessee River,,2119.138916,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446851898000,GRSM,UNR,,1,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,51597,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,51073,>1m <=5m,ATBI DATABASE,,1446851900000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446851900000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004B9E13C49EFA54C05463FDF784BC4140,51594,0101000020110F00007497CEF744D161C16AAC8B3B38215041,51070,>1m <=5m,ATBI DATABASE,,1446851898000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235418,3929386,35.472801,-83.915936,Lake Cheoah-Little Tennessee River,,2122.978027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446851898000,GRSM,UNR,,6,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,51584,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,51060,>1m <=5m,ATBI DATABASE,,1446851894000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851894000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F307A0A4E2FA54C08175CBF7D4BC4140,51576,0101000020110F00001F10B79D7ED161C16D5D8DA98B215041,51052,>1m <=5m,ATBI DATABASE,,1446851890000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235050,3929668,35.475242,-83.920079,Chilhowee Lake,Cooper Camp Branch,1960.478027,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851890000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C9EFAC5ED7FA54C01263437ED0BC4140,51578,0101000020110F0000DC5CAD0A75D161C19BB1E1FE86215041,51054,>1m <=5m,ATBI DATABASE,,1446851891000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235112,3929651,35.475106,-83.919391,Chilhowee Lake,Cooper Camp Branch,2025.034302,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851891000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009145C03F4AFB54C053695EEAF4BD4140,51560,0101000020110F00001375D09BD6D161C11CBD79FAB7225041,51036,>1m <=5m,ATBI DATABASE,,1446851882000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234505,3930660,35.48403,-83.926403,Chilhowee Lake,,2145.195557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851882000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D51CBEB74FFB54C009067FDBEDBD4140,51559,0101000020110F000032DBD340DBD161C12FC4E39DB0225041,51035,>1m <=5m,ATBI DATABASE,,1446851881000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234474,3930637,35.483815,-83.926736,Chilhowee Lake,,2151.614014,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851881000,GRSM,UNR,,10,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A7B7F0D038FB54C024815C9BB3BD4140,51564,0101000020110F000078368CCDC7D161C1C77094DC73225041,51040,>1m <=5m,ATBI DATABASE,,1446851884000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234595,3930436,35.482037,-83.925339,Chilhowee Lake,,2108.902344,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851884000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000023C9FA6D32FB54C0AC37CCD2B9BD4140,51566,0101000020110F0000CD9FF960C2D161C1BF356D587A225041,51042,>1m <=5m,ATBI DATABASE,,1446851885000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234631,3930456,35.482227,-83.924949,Chilhowee Lake,,2083.352539,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851885000,GRSM,UNR,,2,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,51570,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,51046,>1m <=5m,ATBI DATABASE,,1446851887000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851887000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C2275EE40CFB54C0565863EF56BD4140,51571,0101000020110F0000925B877FA2D161C1FD4F423513225041,51047,>1m <=5m,ATBI DATABASE,,1446851888000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234829,3930115,35.479209,-83.922658,Chilhowee Lake,,2055.496094,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446851888000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Smilax_rotundifolia,Smilax  rotundifolia,37286,Horsebrier,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Smilacaceae, ,~,observed, ,day,cert,TVA Powerline Plants
