the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F589713B8AE154C04BDA73EAA1BA4140,53135,0101000020110F00005940B601F8BB61C1910B0385401F5041,52572,>1m <=5m,ATBI DATABASE,,1446852713000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270942,3926770,35.458059,-83.524058,Noland Creek,Noland Creek,1837.016724,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852713000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150848000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000ED7E7B5569CF54C00380B8F2ACE24140,53161,0101000020110F0000CE43857D92AC61C154D9B4E515495041,52598,>1m <=5m,ATBI DATABASE,,1446852729000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297443,3960854,35.770896,-83.2408,Cosby Creek,Hen Wallow Creek,1833.250366,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852729000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996537600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,53162,0101000020110F0000ED4866A519AB61C1987EE365C1495041,52599,>1m <=5m,ATBI DATABASE,,1446852730000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852730000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1128643200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000023949648E4C754C03AE0BD1AD5E04140,53163,0101000020110F000007E85F8B2FA661C196A5E40828475041,52600,>1m <=5m,ATBI DATABASE,,1446852730000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308031,3959020,35.756497,-83.123304,Big Creek,Leatherwood Branch,2436.970215,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852730000,GRSM,UNR,,5,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996624000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000056B346A92DF54C02EABF15887C54140,53136,0101000020110F000060714D1D4CBA61C1F86586879E2A5041,52573,>1m <=5m,ATBI DATABASE,,1446852714000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273972,3936143,35.543186,-83.493307,Forney Creek,Bald Branch,5820.923828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852714000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,835833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000002BE587DAEEDD54C09D959A6810C84140,53138,0101000020110F00007C69EEC7E7B861C149141417442D5041,52575,>1m <=5m,ATBI DATABASE,,1446852715000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276349,3938282,35.562994,-83.467699,Noland Creek,,5435.604004,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852715000,GRSM,UNR,,6,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058572800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E61000003B61CEDBD4D954C0C370940D82CF4140,53151,0101000020110F0000720717056CB561C1ECD9B6600A355041,52588,>1m <=5m,ATBI DATABASE,,1446852723000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282316,3944590,35.62115,-83.403613,Upper Oconaluftee River,,5828.839355,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446852723000,GRSM,UNR,,7,,,Appalachian Trail,Newfound Gap Road North,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026950400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000C9AF52E64BDA54C0742B266417CF4140,53150,0101000020110F0000EF4E1B1FD1B561C11D1FACF09A345041,52587,>1m <=5m,ATBI DATABASE,,1446852722000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281649,3944245,35.617894,-83.410879,West Prong Little Pigeon River Upper,,5712.051758,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446852722000,GRSM,UNR,,10,,,Appalachian Trail,Parking At Mp 13.35,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1128643200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000306D752269DA54C0333B0C5F7FCF4140,53149,0101000020110F0000A7AE62F3E9B561C14EA06D9307355041,52586,>1m <=5m,ATBI DATABASE,,1446852722000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281496,3944601,35.621068,-83.412663,West Prong Little Pigeon River Upper,,5017.908203,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852722000,GRSM,UNR,,6,,,Appalachian Trail,Newfound Gap Road North,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993513600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000045B3BAEEF0DA54C0F24F13F744CE4140,53147,0101000020110F00002E01B1485DB661C1E7A9FE1ABF335041,52584,>1m <=5m,ATBI DATABASE,,1446852721000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280719,3943555,35.611473,-83.420951,Upper Oconaluftee River,Mine Branch,5284.617188,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852721000,GRSM,UNR,,7,,,Appalachian Trail,Newfound Gap Road North,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,235785600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000099DE216CE8DC54C0F222E3B615CE4140,53140,0101000020110F0000BD2BE6E508B861C1ECAB94BE8D335041,52577,>1m <=5m,ATBI DATABASE,,1446852716000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277931,3943464,35.610031,-83.451682,West Prong Little Pigeon River Upper,Road Prong,4991.254883,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852716000,GRSM,UNR,,6,,,Road Prong Trail,Clingmans Dome Access Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058659200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000399DE87693DC54C0AB1920780CCE4140,53143,0101000020110F000098D046BEC0B761C175DB241684335041,52580,>1m <=5m,ATBI DATABASE,,1446852718000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,Tennessee,278400,3943421,35.609749,-83.446496,West Prong Little Pigeon River Upper,Road Prong,5288.348145,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446852718000,GRSM,UNR,,7,,,Appalachian Trail,Indian Gap Road Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058659200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000004A195C669DDC54C0D34F12F452CE4140,53142,0101000020110F0000E9316E2EC9B761C1B0FFF6B7CD335041,52579,>1m <=5m,ATBI DATABASE,,1446852717000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278351,3943661,35.6119,-83.447103,West Prong Little Pigeon River Upper,Road Prong,5479.879395,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852717000,GRSM,UNR,,5,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A67266FD9EDC54C01F84E2C9D9CD4140,53141,0101000020110F000063482188CAB761C1FD93C3244F335041,52578,>1m <=5m,ATBI DATABASE,,1446852717000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278332,3943251,35.608202,-83.4472,Deep Creek,Road Prong,5371.299805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446852717000,GRSM,UNR,,8,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
