the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002F9706DEC6F354C0E4D3EC4C64BB4140,53631,0101000020110F0000FD88761475CB61C15909FB340B205041,53065,>1m <=5m,ATBI DATABASE,,1446852999000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245095,3928127,35.463992,-83.809009,Lower Fontana Lake-Little Tennessee River,,2048.250488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852999000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000299081EBF3ED54C083605D2E85BB4140,53649,0101000020110F0000910F61D182C661C1EDD2547E2D205041,53083,>1m <=5m,ATBI DATABASE,,1446853009000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253358,3928007,35.464995,-83.718009,Hazel Creek,Laurel Branch,1839.779175,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853009000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000D73014987EE54C00A95C9BA49BC4140,53648,0101000020110F0000CE63A8F9FFC661C18EF17474FA205041,53082,>1m <=5m,ATBI DATABASE,,1446853008000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252560,3928695,35.470993,-83.727003,Hazel Creek,Hazel Creek,1695.825562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853008000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087344000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000BD767680E7E354C0368268487DBF4140,53653,0101000020110F00009770F60FFABD61C136E69F4051245041,53086,>1m <=5m,ATBI DATABASE,,1446853011000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267698,3931066,35.496004,-83.561001,Forney Creek,Forney Creek,2148.432617,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853011000,GRSM,UNR,,7,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1091404800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000012C51447E6DA54C05D98B6D364BB4140,53661,0101000020110F0000BD56193C54B661C131F987C10B205041,53094,>1m <=5m,ATBI DATABASE,,1446853015000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280376,3927194,35.464008,-83.420301,Deep Creek,Tom Branch,2129.915283,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853015000,GRSM,UNR,,3,,,Thomas Divide Trail,Tom Branch Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,557798400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,53675,0101000020110F00008A1D37A273A361C1C551E73A57305041,53108,>1m <=5m,ATBI DATABASE,,1446853024000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853024000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000004B3D5C8998C454C08C65823A15CB4140,53677,0101000020110F0000EF9929F362A361C19579EF0F6B305041,53110,>1m <=5m,ATBI DATABASE,,1446853025000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312290,3940071,35.586578,-83.071806,Lower Johnathans Creek,Cove Creek,4866.149414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853025000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1191542400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,mist net and observations,No,day,cert,Birds & Bird Parasites
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,53678,0101000020110F0000E0AAD1C349A361C167A168F912305041,53111,>1m <=5m,ATBI DATABASE,,1446853026000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853026000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1216080000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003EE53D733BCF54C06CD0B70F7DCF4140,53674,0101000020110F00002D496F856BAC61C1FE1A9C2905355041,53107,>1m <=5m,ATBI DATABASE,,1446853023000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297317,3944219,35.620997,-83.238,Upper Raven Fork,,4585.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853023000,GRSM,UNR,,8,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,589593600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000660BF4C880D654C09C51F73141CA4140,53664,0101000020110F00006DF17C5A98B261C1FFB897A28D2F5041,53097,>1m <=5m,ATBI DATABASE,,1446853017000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286918,3939923,35.580108,-83.351606,Upper Oconaluftee River,Cliff Branch,2941.660889,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853017000,GRSM,UNR,,4,,,Kephart Prong Trail,Newfound Gap Road South,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1091404800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001D43145433D354C06AF383E347C14140,53669,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,53102,>1m <=5m,ATBI DATABASE,,1446853021000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446853021000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990576000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
