the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F51F04AA40DF54C096D5EA6E08BA4140,54505,0101000020110F0000C33DFCAE06BA61C16650ED7DA01E5041,53979,>1m <=5m,ATBI DATABASE,,1446853524000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274173,3926168,35.453376,-83.488318,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2142.977051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853524000,GRSM,UNR,,9,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865900800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003F0AB3DD78DF54C06AF4D26347BA4140,54504,0101000020110F0000FF00736A36BA61C1DCCED521E21E5041,53978,>1m <=5m,ATBI DATABASE,,1446853524000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273867,3926389,35.455297,-83.491748,Fontana Lake-Tuckasegee River,Little Peachtree Creek,2281.41748,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853524000,GRSM,UNR,,6,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895449600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001F0C9F21BADF54C0C3E1E14A71BA4140,54503,0101000020110F000042187ED86DBA61C11E745ED20D1F5041,53977,>1m <=5m,ATBI DATABASE,,1446853523000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273509,3926540,35.456576,-83.495732,Fontana Lake-Tuckasegee River,Little Peachtree Creek,2284.799316,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853523000,GRSM,UNR,,6,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865900800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D1EBA029B3C454C054BC22DC0ACB4140,54507,0101000020110F000066A7389079A361C152ADDB3B60305041,53981,>1m <=5m,ATBI DATABASE,,1446853525000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312142,3940039,35.586262,-83.073431,Lower Johnathans Creek,,4920.024414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853525000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1058572800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,mist net,No,day,cert,Birds & Bird Parasites
0101000020E61000004B3D5C8998C454C08C65823A15CB4140,54514,0101000020110F0000EF9929F362A361C19579EF0F6B305041,53988,>1m <=5m,ATBI DATABASE,,1446853528000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312290,3940071,35.586578,-83.071806,Lower Johnathans Creek,Cove Creek,4866.149414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853528000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1058572800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,mist net,No,day,cert,Birds & Bird Parasites
0101000020E6100000ED28A16363C454C0A3D271FD07CB4140,54518,0101000020110F0000CFA2CFCF35A361C12522973C5D305041,53992,>1m <=5m,ATBI DATABASE,,1446853530000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312583,3940020,35.586174,-83.068562,Lower Johnathans Creek,Beantown Creek,4725.09082,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853530000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898128000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000000B16333471C454C055C3EFC729CB4140,54517,0101000020110F0000F2CD6B8B41A361C13C3BB48680305041,53991,>1m <=5m,ATBI DATABASE,,1446853530000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312509,3940136,35.587206,-83.069406,Lower Johnathans Creek,Beantown Creek,4755.834473,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853530000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898128000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001E195F3F3AC454C0EC51706C0ECB4140,54526,0101000020110F000017D1C2DE12A361C1464D9DF463305041,54000,>1m <=5m,ATBI DATABASE,,1446853534000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312811,3940037,35.586371,-83.066051,Lower Johnathans Creek,Beantown Creek,4791.380859,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853534000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898128000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000008F5E3AD141C454C0B3C85C44D4CA4140,54525,0101000020110F0000124A954C19A361C167A6883827305041,53999,>1m <=5m,ATBI DATABASE,,1446853534000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312765,3939841,35.584596,-83.066513,Lower Johnathans Creek,Beantown Creek,4762.990723,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853534000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,898128000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000003530F7FE43C454C06B024CE6C6CA4140,54521,0101000020110F00006F1545261BA361C13A2AD04219305041,53995,>1m <=5m,ATBI DATABASE,,1446853532000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312752,3939796,35.584188,-83.066646,Lower Johnathans Creek,Beantown Creek,4752.519531,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853532000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Spizella_passerina,Spizella  passerina,37969,Chipping Sparrow,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1053734400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Emberizidae, ,~,mist net,No,day,cert,Birds & Bird Parasites
