the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D94EEA1741F854C0E5306015A4BB4140,55735,0101000020110F00007C26F59142CF61C1DA10B3B74D205041,55160,>1m <=5m,ATBI DATABASE,,1446854192000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238751,3928526,35.465938,-83.878969,Lake Cheoah-Little Tennessee River,Twentymile Creek,1389.878906,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854192000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1083974400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000F589713B8AE154C04BDA73EAA1BA4140,55774,0101000020110F00005940B601F8BB61C1910B0385401F5041,55199,>1m <=5m,ATBI DATABASE,,1446854215000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270942,3926770,35.458059,-83.524058,Noland Creek,Noland Creek,1837.016724,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854215000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090972800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000009F555CD817E354C01A6FA2CB98B94140,55760,0101000020110F00003C3E12B349BD61C1520568192C1E5041,55185,>1m <=5m,ATBI DATABASE,,1446854206000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268716,3925929,35.449969,-83.548326,Fontana Lake-Tuckasegee River,Tunnel Branch,1692.445801,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854206000,GRSM,UNR,,6,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1206144000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000266FF2EE57D154C0D5EBA807D8E14140,55814,0101000020110F00005FE6C58D36AE61C1EE9B340837485041,55238,>1m <=5m,ATBI DATABASE,,1446854238000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294697,3960196,35.764398,-83.270988,Cosby Creek,Cole Creek,2052.884277,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854238000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1151193600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B72598883CCD54C0CF1DC4A8CDE24140,55823,0101000020110F0000A9E07F99B9AA61C1795E612338495041,55247,>1m <=5m,ATBI DATABASE,,1446854242000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300518,3960895,35.771894,-83.206816,Cosby Creek,,1941.221436,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854242000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996624000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000375CE1E69FCD54C09BA64DB1B7E24140,55822,0101000020110F0000126A3EFE0DAB61C172CCE92421495041,55246,>1m <=5m,ATBI DATABASE,,1446854242000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299968,3960833,35.771224,-83.212881,Cosby Creek,Fletcher Spring Branch,1841.764648,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854242000,GRSM,UNR,,10,,,Tritt Cemetery Access Trail,Cosby Pullout Parking @ Mp 0.984,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150934400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,55821,0101000020110F0000ED4866A519AB61C1987EE365C1495041,55245,>1m <=5m,ATBI DATABASE,,1446854241000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854241000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150761600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000FFFF7E7FCACD54C0E91304853DE14140,55817,0101000020110F00000E94892B32AB61C1A4B3945095475041,55241,>1m <=5m,ATBI DATABASE,,1446854239000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299704,3959558,35.759683,-83.215481,Cosby Creek,Crying Creek,2149.69458,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854239000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118188800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E610000090B7B80013CD54C0123E544D62E04140,55824,0101000020110F0000F1BCD85396AA61C1C73F77E3AF465041,55248,>1m <=5m,ATBI DATABASE,,1446854243000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300700,3958793,35.752993,-83.204281,Cosby Creek,Cosby Creek,2307.156738,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854243000,GRSM,UNR,,5,,,Cosby Nature Trail,Cosby Campground Road B,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150588800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000BA496F2C06C754C0D4459DC832E04140,55825,0101000020110F00002A4607E872A561C194DCE7287E465041,55249,>1m <=5m,ATBI DATABASE,,1446854243000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309245,3958444,35.751543,-83.109748,Big Creek,,1715.809814,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854243000,GRSM,UNR,,5,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117843200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,black light trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,55815,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,55239,>1m <=5m,ATBI DATABASE,,1446854238000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446854238000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Stenolophus_Stenolophus_ochropezus,Stenolophus Stenolophus ochropezus,38071,Stenolophus Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,992908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
