the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,58147,0101000020110F000082B2585C46D061C1CD45238E69205041,57607,>1m <=5m,ATBI DATABASE,,1446855591000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855591000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000005974E3C4F4F454C01AF3D5B62ABA4140,58154,0101000020110F00002448387C75CC61C1B510E13BC41E5041,57614,>1m <=5m,ATBI DATABASE,,1446855595000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243392,3927113,35.454422,-83.827435,Lake Cheoah-Little Tennessee River,,1842.969482,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855595000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000092303E92B3F654C06A87BA6D31BA4140,58153,0101000020110F0000171257F4F0CD61C18DC60B3CCB1E5041,57613,>1m <=5m,ATBI DATABASE,,1446855594000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240917,3927207,35.454627,-83.854706,Lake Cheoah-Little Tennessee River,,1694.576782,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855594000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000006C10DC979FEA54C0C4659A9227B84140,58158,0101000020110F0000D17DBFEFAEC361C11C208E2FAB1C5041,57618,>1m <=5m,ATBI DATABASE,,1446855597000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258001,3924961,35.438701,-83.665987,Lower Fontana Lake-Little Tennessee River,,1735.524536,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855597000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000029B7BDD5A1EA54C0DB5908332CB84140,58156,0101000020110F00003C4D25D7B0C361C157C93B02B01C5041,57616,>1m <=5m,ATBI DATABASE,,1446855596000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257989,3924977,35.438842,-83.666124,Lower Fontana Lake-Little Tennessee River,,1711.106567,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855596000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003FC901E1A1EA54C0329469ED23B84140,58155,0101000020110F00006ABEB6E0B0C361C10F9DC662A71C5041,57615,>1m <=5m,ATBI DATABASE,,1446855595000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257988,3924949,35.43859,-83.666126,Lower Fontana Lake-Little Tennessee River,,1717.50415,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855595000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000D521EE000E354C0C24FDA23EDBA4140,58161,0101000020110F00002ECCFA3036BD61C1F6117FF48E1F5041,57621,>1m <=5m,ATBI DATABASE,,1446855599000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268873,3927078,35.460355,-83.546924,Fontana Lake-Tuckasegee River,,2138.801758,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855599000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000F1BD7BB741E354C07D6CD15D2DBA4140,58160,0101000020110F0000CA55D3426DBD61C16413CEFFC61E5041,57620,>1m <=5m,ATBI DATABASE,,1446855599000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268497,3926438,35.454503,-83.550882,Fontana Lake-Tuckasegee River,Goldmine Branch,1861.640625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855599000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000659AF81CB8DF54C0ACC1E13091B94140,58163,0101000020110F00002E8FB3216CBA61C187C3C82B241E5041,57622,>1m <=5m,ATBI DATABASE,,1446855599000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273501,3925781,35.449737,-83.495608,Fontana Lake-Tuckasegee River,Tuckasegee River,1683.970337,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855599000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000067137EAE78DF54C0D6F627DF16B94140,58165,0101000020110F00006F3D5B4236BA61C11D0DE6A5A41D5041,57624,>1m <=5m,ATBI DATABASE,,1446855600000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273842,3925358,35.446004,-83.491737,Fontana Lake-Tuckasegee River,Peachtree Creek,1724.718506,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855600000,GRSM,UNR,,4,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1343520000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000768A4A3B1DF54C0F5A1C8F01EBA4140,58164,0101000020110F0000EDA621A266BA61C12A7A5AF5B71E5041,57623,>1m <=5m,ATBI DATABASE,,1446855600000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273549,3926260,35.454062,-83.495213,Fontana Lake-Tuckasegee River,Little Peachtree Creek,2351.469727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855600000,GRSM,UNR,,5,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Tephrosia_virginiana,Tephrosia  virginiana,39757,GoatÆs-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1219449600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed,No,day,cert,ATBI
