the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A3B1723F92F754C0948F8EBF35BC4140,58640,0101000020110F0000EEF3E012AECE61C10074199EE5205041,58079,>1m <=5m,ATBI DATABASE,,1446855859000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239734,3928991,35.470383,-83.868297,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855859000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000013AEC1A76BF554C02CD74726EEBD4140,58667,0101000020110F000001189074DACC61C1EBF8E3EBB0225041,58104,>1m <=5m,ATBI DATABASE,,1446855872000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242827,3930394,35.483823,-83.834692,Lake Cheoah-Little Tennessee River,,2519.925781,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855872000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B11B9F9194F254C04EC6EBE0F1BC4140,58691,0101000020110F0000B791C8F070CA61C1AB4F35D0A9215041,58125,>1m <=5m,ATBI DATABASE,,1446855884000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246830,3929425,35.476125,-83.790314,Eagle Creek,Birchfield Branch,2121.757812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855884000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003923480D1CF254C07488DA6B7EBD4140,58696,0101000020110F000085B3E1950ACA61C157CCF2633C225041,58130,>1m <=5m,ATBI DATABASE,,1446855886000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247511,3929882,35.480414,-83.782958,Eagle Creek,,1942.249878,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855886000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B98DEF5381F354C021AE5AA161BB4140,58685,0101000020110F0000B97424053ACB61C1E4C12F6C08205041,58119,>1m <=5m,ATBI DATABASE,,1446855880000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245480,3928107,35.46391,-83.804764,Lower Fontana Lake-Little Tennessee River,,1860.862427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855880000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E9F05C5415EE54C03C1E5B1867BC4140,58709,0101000020110F00008BBF52319FC661C1571E231419215041,58143,>1m <=5m,ATBI DATABASE,,1446855894000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253194,3928777,35.471889,-83.720048,Hazel Creek,Hazel Creek,1745.265625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855894000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000029543D1A60E854C0333CF3FB09BD4140,58720,0101000020110F0000DE760D2CC6C161C1D3A50EF4C2215041,58151,>1m <=5m,ATBI DATABASE,,1446855898000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261303,3929109,35.47686,-83.630862,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3396.994141,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855898000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009D16D0CC12E754C0EC4E779EB8BA4140,58723,0101000020110F0000BF0F2419ABC061C1A85A1331581F5041,58154,>1m <=5m,ATBI DATABASE,,1446855900000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263096,3927051,35.458752,-83.610518,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1980.12854,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855900000,GRSM,UNR,,6,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,58726,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,58158,>1m <=5m,ATBI DATABASE,,1446855902000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855902000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,58713,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,58156,>1m <=5m,ATBI DATABASE,,1446855901000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855901000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,58724,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,58155,>1m <=5m,ATBI DATABASE,,1446855900000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855900000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
