the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BEB6B1EB74EC54C0CA61CA9C3BBE4140,58819,0101000020110F0000E37757893DC561C15EDB95B701235041,58246,>1m <=5m,ATBI DATABASE,,1446855954000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255544,3930300,35.486187,-83.694632,Hazel Creek,Hazel Creek,2065.369629,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855954000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000163B38DD74E854C0E96AD7F609BD4140,58822,0101000020110F00003F1D11CED7C161C178B3BAEEC2215041,58249,>1m <=5m,ATBI DATABASE,,1446855956000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261188,3929112,35.47686,-83.632129,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3535.269531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855956000,GRSM,UNR,,8,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AFCC7C8346E854C0069CB66ACABC4140,58823,0101000020110F0000A62E7F70B0C161C1328D9BA880215041,58250,>1m <=5m,ATBI DATABASE,,1446855956000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261439,3928890,35.47492,-83.6293,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3240.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855956000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008536DB9D94EA54C03460E9AC71B94140,58820,0101000020110F00003018369DA5C361C1474D7050031E5041,58247,>1m <=5m,ATBI DATABASE,,1446855954000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258092,3926077,35.448775,-83.665317,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1776.905518,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855954000,GRSM,UNR,,2,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E61BA10415E754C0916213A8A4B94140,58825,0101000020110F0000D83863FBACC061C1EA551D77381E5041,58252,>1m <=5m,ATBI DATABASE,,1446855958000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855958000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007D2F830682E054C0733B30970CBE4140,58834,0101000020110F0000B125A59D17BB61C1B6B301ACD0225041,58262,>1m <=5m,ATBI DATABASE,,1446855963000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272481,3929694,35.484752,-83.507932,Noland Creek,Noland Creek,2261.975342,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855963000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D1A4F96893E054C099AAD21B90BD4140,58833,0101000020110F000005AC6C6126BB61C18C7579D64E225041,58261,>1m <=5m,ATBI DATABASE,,1446855963000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272374,3929275,35.480954,-83.508993,Noland Creek,Noland Creek,2222.125488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855963000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,58829,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,58256,>1m <=5m,ATBI DATABASE,,1446855960000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855960000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000917A06A221D154C07C805A8B1DE04140,58846,0101000020110F0000BB43B76F08AE61C17BD7CDEE67465041,58273,>1m <=5m,ATBI DATABASE,,1446855970000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294962,3958691,35.750895,-83.267674,Cosby Creek,Cole Creek,2703.646729,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855970000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Campground Road B,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956620800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007141F322FBC654C01C5A08A541E04140,58852,0101000020110F000032F2578869A561C1E14143B68D465041,58278,>1m <=5m,ATBI DATABASE,,1446855973000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309307,3958493,35.751996,-83.109074,Big Creek,Big Creek,1698.45459,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855973000,GRSM,UNR,,6,,,Big Creek Horse,Big Creek Group Camp,Valid,Thaspium_trifoliatum_variety,Thaspium  trifoliatum variety,38612,Meadow-parsnip,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Apiales, , , , ,Apiaceae, ,~,by hand, , ,cert,INHS plant survey
