the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000316C6C2D2EF854C0DDEC4B1A89BE4140,58885,0101000020110F00002A553A8132CF61C1F6A22F8B52235041,58315,>1m <=5m,ATBI DATABASE,,1446855993000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238929,3931032,35.488552,-83.877814,Lake Cheoah-Little Tennessee River,Dalton Branch,2092.81958,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855993000,GRSM,UNR,,5,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000753AFB233CF854C04D30BC9C96BE4140,58884,0101000020110F000029D8195D3ECF61C171A296A260235041,58314,>1m <=5m,ATBI DATABASE,,1446855992000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238853,3931080,35.488965,-83.878667,Lake Cheoah-Little Tennessee River,Dalton Branch,2099.386475,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855992000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000002AB761D247F854C0CB564DC6A7BE4140,58883,0101000020110F0000BD51D94848CF61C1FB9D6C8972235041,58313,>1m <=5m,ATBI DATABASE,,1446855992000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238790,3931140,35.489488,-83.879379,Lake Cheoah-Little Tennessee River,Dalton Branch,2117.669922,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855992000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E76521F50FF854C0DCEDF42F7BBE4140,58886,0101000020110F0000DEAECAD618CF61C11B2F6D0744235041,58316,>1m <=5m,ATBI DATABASE,,1446855993000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239095,3930980,35.488128,-83.87597,Lake Cheoah-Little Tennessee River,Dalton Branch,2023.961304,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855993000,GRSM,UNR,,5,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000B91D73610EF454C0A3652AF25BBB4140,59108,0101000020110F0000AFC3F6D0B1CB61C19939CA7E02205041,58527,>1m <=5m,ATBI DATABASE,,1446856101000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244698,3928110,35.463737,-83.813374,Lake Cheoah-Little Tennessee River,,2229.653564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856101000,GRSM,UNR,,10,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000D321B4410DF454C0D697464F6EBB4140,59109,0101000020110F0000D9C494DCB0CB61C19F4EE1A415205041,58528,>1m <=5m,ATBI DATABASE,,1446856101000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244706,3928172,35.464297,-83.813305,Lake Cheoah-Little Tennessee River,,2313.297852,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856101000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000000D2CEAA006F454C02AD8BB4990BB4140,59111,0101000020110F0000536E7F3BABCB61C1A91F4D1339205041,58530,>1m <=5m,ATBI DATABASE,,1446856102000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244746,3928286,35.465334,-83.8129,Lake Cheoah-Little Tennessee River,,2520.741699,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856102000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000F56CBEF306F454C027FB7437ADBB4140,59113,0101000020110F0000CD35D881ABCB61C144C5CC3D57205041,58531,>1m <=5m,ATBI DATABASE,,1446856102000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244747,3928384,35.466217,-83.81292,Lower Fontana Lake-Little Tennessee River,,2575.491943,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856102000,GRSM,UNR,,5,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000C9557B578BF754C01B62961F33BC4140,58907,0101000020110F0000D82C5835A8CE61C182DA58E1E2205041,58334,>1m <=5m,ATBI DATABASE,,1446856002000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239772,3928981,35.470303,-83.867876,Lake Cheoah-Little Tennessee River,Twentymile Creek,1566.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856002000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000D13D353BABF754C0B446A64B58BC4140,58896,0101000020110F000072B6CC4AC3CE61C181F114A509215041,58324,>1m <=5m,ATBI DATABASE,,1446855997000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239599,3929112,35.471438,-83.869822,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855997000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thelypteris_noveboracensis,Thelypteris  noveboracensis,38675,New York Fern,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Filicopsida, ,Pteridophyta, , , ,Polypodiales, , , , ,Thelypteridaceae, ,~,observed, , ,cert,ATBI Ferns
