the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009DE01F7217F854C004F1291CDBBE4140,60673,0101000020110F00002C38E5321FCF61C188099915A8235041,60117,>1m <=5m,ATBI DATABASE,,1446857006000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239063,3931306,35.491055,-83.876427,Lake Cheoah-Little Tennessee River,Dalton Branch,2382.541992,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857006000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E197191AD5F754C00DC8374B71BE4140,60675,0101000020110F00000FA65BDAE6CE61C1BB2D9FB539235041,60120,>1m <=5m,ATBI DATABASE,,1446857007000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239420,3930937,35.487826,-83.872378,Lake Cheoah-Little Tennessee River,Dalton Branch,1927.066895,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857007000,GRSM,UNR,,7,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,927849600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000593161D679F254C0A44E730406BD4140,60713,0101000020110F000043E6D03C5ACA61C18B93F9D0BE215041,60163,>1m <=5m,ATBI DATABASE,,1446857030000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246980,3929489,35.476739,-83.788682,Eagle Creek,,2161.187256,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857030000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,865296000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E11855C80DF054C0FF79C80BDEBD4140,60730,0101000020110F0000A496F09F4BC861C152891A20A0225041,60182,>1m <=5m,ATBI DATABASE,,1446857041000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250435,3930124,35.483332,-83.750837,Hazel Creek,,2331.78418,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857041000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000006DB6ADBE1EF154C0B99B631DE7BD4140,60724,0101000020110F00004F22A47333C961C1543E8C95A9225041,60174,>1m <=5m,ATBI DATABASE,,1446857037000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248924,3930197,35.483609,-83.767497,Eagle Creek,,2240.138184,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857037000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000005FB7E77D2CF154C03EE7427A04BC4140,60723,0101000020110F0000937985203FC961C19B9DA53CB2205041,60173,>1m <=5m,ATBI DATABASE,,1446857036000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248802,3928565,35.46888,-83.768336,Eagle Creek,,2131.825928,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857036000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085011200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000003D7B061E09F054C046550BAD0DBC4140,60729,0101000020110F0000EC499DA947C861C1DFDD40D4BB205041,60181,>1m <=5m,ATBI DATABASE,,1446857041000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250417,3928551,35.469161,-83.750552,Hazel Creek,,2551.904297,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857041000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085097600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000009DD7F7C5ABF254C0DBB6334975BB4140,60710,0101000020110F000003F6EBA584CA61C1FBA12AEB1C205041,60160,>1m <=5m,ATBI DATABASE,,1446857029000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246665,3928140,35.46451,-83.79173,Eagle Creek,,1825.140625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857029000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000373115FCC5F254C0B3E4195743BB4140,60708,0101000020110F0000EDFED2E89ACA61C12CDF7BD6E81F5041,60158,>1m <=5m,ATBI DATABASE,,1446857028000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246515,3927975,35.462986,-83.79333,Eagle Creek,,1776.330566,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857028000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000073A4B969E1F354C075EC62D2D3BA4140,60690,0101000020110F0000907C0DA08BCB61C1F6E9468E741F5041,60140,>1m <=5m,ATBI DATABASE,,1446857018000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244934,3927642,35.459582,-83.810629,Lower Fontana Lake-Little Tennessee River,,1874.331787,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857018000,GRSM,UNR,,5,,,Appalachian Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,895795200000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A28CE17FC5F354C0DBD0DE2A99BA4140,60693,0101000020110F000091C415EB73CB61C1445DDC65371F5041,60143,>1m <=5m,ATBI DATABASE,,1446857019000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245083,3927439,35.457792,-83.808925,Lower Fontana Lake-Little Tennessee River,,1837.134766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857019000,GRSM,UNR,,4,,,Appalachian Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928108800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000DBEE92F6EEEE54C074533AC0A2B94140,60732,0101000020110F00008D896B0758C761C16E447F7A361E5041,60184,>1m <=5m,ATBI DATABASE,,1446857042000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251922,3926412,35.450272,-83.733331,Lower Fontana Lake-Little Tennessee River,,1681.689331,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857042000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085270400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000A3E5E55502EE54C0F2A702F8ABB94140,60742,0101000020110F0000C352A10F8FC661C10486BF16401E5041,60194,>1m <=5m,ATBI DATABASE,,1446857048000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253234,3926407,35.450554,-83.718888,Lower Fontana Lake-Little Tennessee River,,1773.358765,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857048000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085270400000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E610000088F588C982EC54C0252C4C145EB94140,60767,0101000020110F00001EFB385049C561C1E2DB5DE2EE1D5041,60219,>1m <=5m,ATBI DATABASE,,1446857062000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255352,3926085,35.448177,-83.695479,Lower Fontana Lake-Little Tennessee River,,1971.776123,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857062000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000083112EF614EC54C05F11261317B94140,60775,0101000020110F0000C1BBD709ECC461C1AE131ADCA41D5041,60227,>1m <=5m,ATBI DATABASE,,1446857066000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255954,3925828,35.44601,-83.688775,Lower Fontana Lake-Little Tennessee River,,1879.352173,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857066000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000002A4002E93CEC54C0931449D525B94140,60773,0101000020110F000007DD7DF70DC561C155B4E33EB41D5041,60225,>1m <=5m,ATBI DATABASE,,1446857065000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255734,3925884,35.44646,-83.691214,Lower Fontana Lake-Little Tennessee River,,1925.593872,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857065000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000805CED845EED54C06642D2028FB94140,60761,0101000020110F0000F6328CEE03C661C1971FF8E5211E5041,60213,>1m <=5m,ATBI DATABASE,,1446857058000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254139,3926284,35.44967,-83.70889,Lower Fontana Lake-Little Tennessee River,Whiteside Creek,1804.002441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857058000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004A5D00E733ED54C0F52440BF82B94140,60764,0101000020110F00005A88BEBCDFC561C1A7A3C41C151E5041,60216,>1m <=5m,ATBI DATABASE,,1446857060000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254374,3926236,35.449296,-83.706289,Lower Fontana Lake-Little Tennessee River,Mill Branch,1799.085449,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857060000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009EAAAD9EF4ED54C0901908FFABB94140,60746,0101000020110F0000FBDA8C6983C661C14E7F111E401E5041,60198,>1m <=5m,ATBI DATABASE,,1446857050000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253310,3926405,35.450555,-83.718051,Lower Fontana Lake-Little Tennessee River,,1857.167969,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857050000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000A252044FF9ED54C01320F1C8ABB94140,60745,0101000020110F00005982FF6487C661C170F5ACE53F1E5041,60197,>1m <=5m,ATBI DATABASE,,1446857050000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253284,3926405,35.450548,-83.718337,Lower Fontana Lake-Little Tennessee River,,1838.221802,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857050000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E6100000727D3E1BF0ED54C00C1D7CE7ABB94140,60747,0101000020110F0000F8503D947FC661C14CDB8405401E5041,60199,>1m <=5m,ATBI DATABASE,,1446857051000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253335,3926404,35.450552,-83.717776,Lower Fontana Lake-Little Tennessee River,,1875.619873,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857051000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,1085356800000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,Variable Circular Plot (VCB) Survey,No,day,cert,Northshore Road EIS
0101000020E61000007E399CC18BED54C00E8B139757BA4140,60758,0101000020110F00009481065A2AC661C17A09EF05F31E5041,60210,>1m <=5m,ATBI DATABASE,,1446857057000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253907,3926970,35.455791,-83.711651,Lower Fontana Lake-Little Tennessee River,,2078.970703,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857057000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AD494362A2ED54C08DBB75C97BBA4140,60755,0101000020110F0000F221BA913DC661C1F2678CC3181F5041,60207,>1m <=5m,ATBI DATABASE,,1446857055000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253785,3927096,35.456896,-83.713032,Lower Fontana Lake-Little Tennessee River,,2098.674072,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857055000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928713600000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000420B64D1CFED54C06A94A70C99BA4140,60751,0101000020110F000088360C2864C661C1060F5B46371F5041,60203,>1m <=5m,ATBI DATABASE,,1446857053000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253536,3927202,35.457789,-83.715805,Lower Fontana Lake-Little Tennessee River,,2176.856445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446857053000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Thryothorus_ludovicianus,Thryothorus  ludovicianus,39998,Carolina Wren,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,928800000000,Animalia, ,Chordata, ,Aves, , ,Deuterostomia, , ,Passeriformes, , , , ,Troglodytidae, ,~,observed, ,day,cert,Ted Simons Bird Survey
