the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000011F887B60EF754C0D597F507EFBD4140,64071,0101000020110F0000D7B6755C3ECE61C1877F46D7B1225041,63585,>1m <=5m,ATBI DATABASE,,1446858974000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240506,3930464,35.48385,-83.860269,Lake Cheoah-Little Tennessee River,,2358.427979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446858974000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000754D0907E9F554C0CE3F17A0FCBD4140,64073,0101000020110F0000C21418EF44CD61C13EBC1705C0225041,63587,>1m <=5m,ATBI DATABASE,,1446858975000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242134,3930463,35.484265,-83.842344,Lake Cheoah-Little Tennessee River,,2259.143799,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446858975000,GRSM,UNR,,7,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B98DEF5381F354C021AE5AA161BB4140,64074,0101000020110F0000B97424053ACB61C1E4C12F6C08205041,63588,>1m <=5m,ATBI DATABASE,,1446858975000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245480,3928107,35.46391,-83.804764,Lower Fontana Lake-Little Tennessee River,,1860.862427,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446858975000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007141F322FBC654C01C5A08A541E04140,64087,0101000020110F000032F2578869A561C1E14143B68D465041,63601,>1m <=5m,ATBI DATABASE,,1446858983000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309307,3958493,35.751996,-83.109074,Big Creek,Big Creek,1698.45459,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446858983000,GRSM,UNR,,6,,,Big Creek Horse,Big Creek Group Camp,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000398181D119C854C042A659F9D5DE4140,64086,0101000020110F0000C92CF7025DA661C1F52E252711455041,63600,>1m <=5m,ATBI DATABASE,,1446858982000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307698,3957296,35.740898,-83.126572,Big Creek,Big Creek,2066.616943,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446858982000,GRSM,UNR,,4,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000522492FA88DF54C0539D262473D14140,64083,0101000020110F00000432B41944BA61C1543B7AC811375041,63597,>1m <=5m,ATBI DATABASE,,1446858981000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274286,3946474,35.636319,-83.492731,West Prong Little Pigeon River Upper,,2756.592285,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446858981000,GRSM,UNR,,4,,,Cove Hardwood Nature Trail,Chimney Picnic Area #1,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E61000001973AC92F5DF54C086720964CFD74140,64082,0101000020110F0000E4035754A0BA61C1E45533D3B73D5041,63596,>1m <=5m,ATBI DATABASE,,1446858980000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273826,3952002,35.68601,-83.49936,Le Conte Creek,Le Conte Creek,1974.711914,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446858980000,GRSM,UNR,,8,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896659200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000656B766A6FD854C0C97D87AFEADA4140,64084,0101000020110F000085A892713CB461C1E19C4A8CF7405041,63598,>1m <=5m,ATBI DATABASE,,1446858981000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284532,3954430,35.71028,-83.381796,Little Pigeon River Middle,,1653.86377,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446858981000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E61000008184C9366BD854C077CD9931E8DA4140,64085,0101000020110F0000BB5D00E038B461C1EAAE0AF1F4405041,63599,>1m <=5m,ATBI DATABASE,,1446858982000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284555,3954421,35.710204,-83.38154,Little Pigeon River Middle,,1654.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446858982000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E6100000554D85151AE054C05C659D664BD84140,64081,0101000020110F00009FBC9E56BFBA61C17DDCA67F393E5041,63595,>1m <=5m,ATBI DATABASE,,1446858979000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273635,3952427,35.689794,-83.501588,Le Conte Creek,Le Conte Creek,1878.935181,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446858979000,GRSM,UNR,,6,,,Twin Creeks Trail,Cherokee Orchard Road,Valid,Trillium_luteum,Trillium  luteum,41205,Yellow Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
