the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008B03FCDB24EF54C05C040DD012BD4140,70323,0101000020110F00008DAB90CD85C761C182482929CC215041,69849,>1m <=5m,ATBI DATABASE,,1446862620000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251706,3929400,35.47713,-83.736621,Hazel Creek,Bearpen Branch,1829.125977,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862620000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006C78A8707BEB54C05B73CB3730B94140,70325,0101000020110F0000ED3E0CA769C461C10F747412BF1D5041,69851,>1m <=5m,ATBI DATABASE,,1446862621000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256807,3925890,35.446777,-83.679405,Lower Fontana Lake-Little Tennessee River,Chesquaw Branch,1999.30896,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862621000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009B540956A2E054C0BB2FC72818BD4140,70329,0101000020110F0000CA2DA70E33BB61C11053A3BCD1215041,69855,>1m <=5m,ATBI DATABASE,,1446862623000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272281,3928871,35.477293,-83.509904,Noland Creek,,2122.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862623000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,70328,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,69854,>1m <=5m,ATBI DATABASE,,1446862623000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862623000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000004FB27CC1CE154C0C432CAFB84BC4140,70327,0101000020110F0000EFCF51109BBB61C10D2F823F38215041,69853,>1m <=5m,ATBI DATABASE,,1446862622000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271590,3928390,35.472802,-83.517379,Noland Creek,Noland Creek,2262.606445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862622000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C584BC1182E054C0BEBACEB96DBA4140,70331,0101000020110F000050782DA717BB61C1DCF1581A0A1F5041,69857,>1m <=5m,ATBI DATABASE,,1446862624000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272401,3926556,35.456467,-83.507935,Fontana Lake-Tuckasegee River,,2435.140625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862624000,GRSM,UNR,,5,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D6C8AEB42CDA54C044319FCA2EBE4140,70333,0101000020110F00003160E6A0B6B561C1B9C12958F4225041,69859,>1m <=5m,ATBI DATABASE,,1446862625000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281463,3929586,35.485796,-83.408975,Deep Creek,Indian Creek,2218.928711,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862625000,GRSM,UNR,,6,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, ,day,cert,ATBI Ferns
0101000020E61000005F51B9A50FC754C08F79307844E04140,70351,0101000020110F000063C8D3F37AA561C1581D0EAB90465041,69877,>1m <=5m,ATBI DATABASE,,1446862636000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309194,3958505,35.752083,-83.110326,Big Creek,,1737.242676,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446862636000,GRSM,UNR,,5,,,Big Creek Horse,Big Creek Entrance Road,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1119571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand,No,day,cert,PKnob gall inventory
0101000020E61000003A3A795466C754C0ED4717965DDE4140,70350,0101000020110F0000E51B7092C4A561C1D165AB2F93445041,69876,>1m <=5m,ATBI DATABASE,,1446862636000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308680,3956867,35.737224,-83.115617,Big Creek,,2669.887207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446862636000,GRSM,UNR,,4,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1001721600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000BD7615C493C754C01327139143DF4140,70348,0101000020110F0000A70F2B29EBA561C1003D50D483455041,69874,>1m <=5m,ATBI DATABASE,,1446862635000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308446,3957651,35.744243,-83.11839,Big Creek,Big Creek,1884.074097,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446862635000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Ulmus_rubra,Ulmus  rubra,41637,Slippery Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,952214400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,Keith Tree Survey
