the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BD94B53EA6FA54C0B3BF7C4A7FBC4140,70790,0101000020110F000036B6E7514BD161C19F56BD4F32215041,70293,>1m <=5m,ATBI DATABASE,,1446862872000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235376,3929368,35.472628,-83.916393,Lake Cheoah-Little Tennessee River,,2119.138916,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862872000,GRSM,UNR,,1,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,70794,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,70297,>1m <=5m,ATBI DATABASE,,1446862874000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862874000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004B9E13C49EFA54C05463FDF784BC4140,70791,0101000020110F00007497CEF744D161C16AAC8B3B38215041,70294,>1m <=5m,ATBI DATABASE,,1446862873000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235418,3929386,35.472801,-83.915936,Lake Cheoah-Little Tennessee River,,2122.978027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862873000,GRSM,UNR,,6,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,70786,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,70290,>1m <=5m,ATBI DATABASE,,1446862870000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446862870000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000FAE3D7BE89F854C0FA0A35B780BB4140,70798,0101000020110F0000C676084680CF61C18DD949D628205041,70301,>1m <=5m,ATBI DATABASE,,1446862877000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238345,3928418,35.464859,-83.883403,Lake Cheoah-Little Tennessee River,Little Tennessee River,1426.533081,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862877000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000005C92CEF28F854C06338760773BB4140,70800,0101000020110F0000BF76410D2ECF61C17D3BB9901A205041,70302,>1m <=5m,ATBI DATABASE,,1446862877000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238880,3928356,35.464441,-83.877494,Lake Cheoah-Little Tennessee River,,1658.766846,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862877000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F1992EBC59F554C01BCAE17739BA4140,70819,0101000020110F0000E799553CCBCC61C14E06F19DD31E5041,70321,>1m <=5m,ATBI DATABASE,,1446862886000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242834,3927179,35.454872,-83.833598,Lake Cheoah-Little Tennessee River,,1823.922363,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862886000,GRSM,UNR,,9,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A18E09BCE9F754C0D26A643153BB4140,70802,0101000020110F0000A71E4F60F8CE61C129603B5EF91F5041,70304,>1m <=5m,ATBI DATABASE,,1446862878000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239227,3928238,35.46347,-83.873637,Lake Cheoah-Little Tennessee River,,1637.353149,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862878000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000FBF045DEE6F754C0968A698D5EBB4140,70803,0101000020110F0000507A1FF1F5CE61C18E758F3605205041,70305,>1m <=5m,ATBI DATABASE,,1446862879000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239244,3928276,35.463816,-83.873462,Lake Cheoah-Little Tennessee River,,1695.081787,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862879000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000467E531134F254C053DD72E13FBD4140,70831,0101000020110F00002DEB6AFB1ECA61C138C9DD29FB215041,70333,>1m <=5m,ATBI DATABASE,,1446862893000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247372,3929674,35.478505,-83.784424,Eagle Creek,,2071.313721,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862893000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BEC0F8DEC9EC54C08151B9F13DBD4140,70855,0101000020110F000067B04FAF85C561C1DE06DB24F9215041,70358,>1m <=5m,ATBI DATABASE,,1446862907000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255050,3929454,35.478446,-83.699817,Hazel Creek,Hazel Creek,1986.640869,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862907000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Uvularia_puberula,Uvularia  puberula,42003,Mountain Bellwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
