the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000656E33B297F654C07A1C0BAC91BC4140,72530,0101000020110F0000D187B247D9CD61C13622027B45215041,71955,>1m <=5m,ATBI DATABASE,,1446863798000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241131,3929262,35.473189,-83.853005,Lake Cheoah-Little Tennessee River,Twentymile Creek,1862.303467,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863798000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AD5CAFB650EE54C01B805380B1BC4140,72552,0101000020110F000019F9A8A0D1C661C107EBA9AC66215041,71977,>1m <=5m,ATBI DATABASE,,1446863811000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252872,3929038,35.47416,-83.723672,Hazel Creek,Hazel Creek,1743.819214,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863811000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000036ABC02198EC54C0AC82C4C205BE4140,72555,0101000020110F000069FCFB705BC561C151C35E8CC9225041,71980,>1m <=5m,ATBI DATABASE,,1446863812000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255344,3930123,35.484544,-83.696781,Hazel Creek,Hazel Creek,2070.091797,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863812000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000ACCD7905A3EC54C09BA308555CBD4140,72554,0101000020110F0000F73699B064C561C1E1F83ED618225041,71979,>1m <=5m,ATBI DATABASE,,1446863812000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255268,3929551,35.479373,-83.697446,Hazel Creek,Hazel Creek,2010.145508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863812000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008DC60AAC93EC54C0B376F2215CBD4140,72556,0101000020110F0000894754A757C561C16214F7A018225041,71981,>1m <=5m,ATBI DATABASE,,1446863813000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255353,3929548,35.479367,-83.696509,Hazel Creek,Hazel Creek,2014.472046,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863813000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000008EB88A1C7ED54C0D4A1BC5739BD4140,72553,0101000020110F0000625D09345DC661C1B6CE4958F4215041,71978,>1m <=5m,ATBI DATABASE,,1446863811000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253644,3929477,35.478306,-83.715305,Hazel Creek,Hazel Creek,1827.019531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863811000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E61BA10415E754C0916213A8A4B94140,72558,0101000020110F0000D83863FBACC061C1EA551D77381E5041,71983,>1m <=5m,ATBI DATABASE,,1446863814000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863814000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002AD9987447E654C0057E98BA34B94140,72559,0101000020110F00000BCBC765FEBF61C1A7545EC6C31D5041,71984,>1m <=5m,ATBI DATABASE,,1446863814000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264188,3925708,35.446915,-83.598107,Lower Fontana Lake-Little Tennessee River,Welch Branch,1879.539917,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863814000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000057BBD75D41E054C0EBE0A744AEBF4140,72564,0101000020110F0000461E75B3E0BA61C13566505A84245041,71989,>1m <=5m,ATBI DATABASE,,1446863817000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272875,3931099,35.497499,-83.503986,Noland Creek,Noland Creek,2540.730713,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863817000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005BE8105980E054C0032C307320BE4140,72562,0101000020110F00008688EA3016BB61C13433BE62E5225041,71987,>1m <=5m,ATBI DATABASE,,1446863816000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272492,3929761,35.485358,-83.50783,Noland Creek,Noland Creek,2229.935303,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863816000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
