the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C56B066739F854C059A91C6AC6BB4140,72586,0101000020110F00002650C7093CCF61C11E69728471205041,72011,>1m <=5m,ATBI DATABASE,,1446863829000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238797,3928641,35.466986,-83.878499,Lake Cheoah-Little Tennessee River,Twentymile Creek,1290.139893,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863829000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000656E33B297F654C07A1C0BAC91BC4140,72587,0101000020110F0000D187B247D9CD61C13622027B45215041,72012,>1m <=5m,ATBI DATABASE,,1446863830000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241131,3929262,35.473189,-83.853005,Lake Cheoah-Little Tennessee River,Twentymile Creek,1862.303467,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863830000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000008EB88A1C7ED54C0D4A1BC5739BD4140,72602,0101000020110F0000625D09345DC661C1B6CE4958F4215041,72026,>1m <=5m,ATBI DATABASE,,1446863837000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253644,3929477,35.478306,-83.715305,Hazel Creek,Hazel Creek,1827.019531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863837000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000095259AF6AE954C02CED5D4E8CB84140,72603,0101000020110F00007039A594A8C261C1509DD731141D5041,72027,>1m <=5m,ATBI DATABASE,,1446863838000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259722,3925256,35.441775,-83.647132,Lower Fontana Lake-Little Tennessee River,Little Tennessee River,1846.630737,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863838000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BDDA38FF62E954C0639EEBB49BB84140,72604,0101000020110F0000B65B1D0DA2C261C1E76FD23F241D5041,72028,>1m <=5m,ATBI DATABASE,,1446863839000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259766,3925307,35.442245,-83.646663,Lower Fontana Lake-Little Tennessee River,Little Tennessee River,1759.351196,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863839000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001EAE86D821E954C06C41A7DB2AB94140,72605,0101000020110F00002C97E4B76AC261C135D3F57BB91D5041,72029,>1m <=5m,ATBI DATABASE,,1446863839000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260140,3925782,35.446614,-83.642687,Lower Fontana Lake-Little Tennessee River,,1762.880371,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863839000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D79D4CAE12E954C04653819035B94140,72606,0101000020110F00004F6BB7D65DC261C1782660A5C41D5041,72030,>1m <=5m,ATBI DATABASE,,1446863840000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260225,3925816,35.44694,-83.641761,Lower Fontana Lake-Little Tennessee River,,1779.665405,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863840000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000085D30398D2E754C0853EB0A123B94140,72607,0101000020110F0000E2CF1BFD4DC161C1C18453F3B11D5041,72031,>1m <=5m,ATBI DATABASE,,1446863840000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261997,3925708,35.446393,-83.622225,Lower Fontana Lake-Little Tennessee River,,1870.688477,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863840000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E61BA10415E754C0916213A8A4B94140,72609,0101000020110F0000D83863FBACC061C1EA551D77381E5041,72033,>1m <=5m,ATBI DATABASE,,1446863841000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863841000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FD2F00B5DAE654C0CAD89BDBAEB94140,72610,0101000020110F00009C1159757BC061C19141D619431E5041,72034,>1m <=5m,ATBI DATABASE,,1446863841000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263383,3926143,35.450642,-83.607095,Lower Fontana Lake-Little Tennessee River,,1889.236206,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863841000,GRSM,UNR,,6,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083110400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
