the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C17560F40DF354C063C748FB01BB4140,73601,0101000020110F0000E4389508D8CA61C15F7ECBAFA41F5041,72983,>1m <=5m,ATBI DATABASE,,1446864406000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246110,3927765,35.460991,-83.797723,Lower Fontana Lake-Little Tennessee River,,1777.609497,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864406000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000CABE80A94ED54C024DCB977A7BD4140,73609,0101000020110F0000FE1DA56331C661C183875E3367225041,72990,>1m <=5m,ATBI DATABASE,,1446864410000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253940,3929842,35.481666,-83.712157,Hazel Creek,Hazel Creek,1874.270752,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864410000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004905AB70BFED54C0A19E85D74ABD4140,73608,0101000020110F0000E5BD2A3F56C661C126E66F9806225041,72989,>1m <=5m,ATBI DATABASE,,1446864409000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253691,3929535,35.47884,-83.714805,Hazel Creek,Hazel Creek,1826.559082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864409000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1018051200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000000BF575922DED54C033BE1691B4BC4140,73612,0101000020110F000031286B5CDAC561C1277914DF69215041,72993,>1m <=5m,ATBI DATABASE,,1446864411000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254485,3929004,35.474254,-83.705902,Hazel Creek,Rowan Branch,2022.461426,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864411000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000006D50E210BDED54C01FE55CA147BC4140,73607,0101000020110F0000A8CEF93A54C661C181120244F8205041,72988,>1m <=5m,ATBI DATABASE,,1446864409000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253680,3928657,35.470929,-83.714661,Hazel Creek,Hazel Creek,1760.242432,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864409000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1018051200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000B5B83B75C9ED54C0DD43DD6F03BC4140,73606,0101000020110F000014C640C15EC661C1F721D826B1205041,72987,>1m <=5m,ATBI DATABASE,,1446864408000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253605,3928428,35.468848,-83.715417,Hazel Creek,Hazel Creek,2019.273804,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864408000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1018051200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000F26A6AEDBEE754C032CF3877F5BF4140,73615,0101000020110F000058CF38493DC161C1B74245A0CE245041,72995,>1m <=5m,ATBI DATABASE,,1446864412000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262263,3931616,35.499672,-83.621024,Hazel Creek,,5175.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864412000,GRSM,UNR,,10,,,High Rocks Trail,Lakeview Drive East Parking #4,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000025F917C283DA54C06239CDF87ABD4140,73638,0101000020110F00009408E88F00B661C1AD15F5CA38225041,73017,>1m <=5m,ATBI DATABASE,,1446864425000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3928989,35.480308,-83.414288,Deep Creek,Indian Creek,2059.033936,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864425000,GRSM,UNR,,6,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008B91C24851DB54C0DC634C6E12BD4140,73635,0101000020110F0000DC1F8F1DAFB661C13C8F36C3CB215041,73014,>1m <=5m,ATBI DATABASE,,1446864423000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279819,3928663,35.477118,-83.426832,Deep Creek,Deep Creek,2032.624756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864423000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1040428800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000004D726FFA4ACC54C0D49E04C94AE24140,73646,0101000020110F00009CE75472ECA961C125C26C25AF485041,73025,>1m <=5m,ATBI DATABASE,,1446864429000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301841,3960422,35.7679,-83.192072,Cosby Creek,,2410.401367,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864429000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Viburnum_nudum_v_cassinoides,Viburnum  nudum v. cassinoides,42276,Possomhaw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,INHS plant survey
