the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000013AEC1A76BF554C02CD74726EEBD4140,74460,0101000020110F000001189074DACC61C1EBF8E3EBB0225041,73818,>1m <=5m,ATBI DATABASE,,1446864860000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242827,3930394,35.483823,-83.834692,Lake Cheoah-Little Tennessee River,,2519.925781,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864860000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,74491,0101000020110F00004D99C05E7BC661C1AB48020513225041,73847,>1m <=5m,ATBI DATABASE,,1446864877000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864877000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007F7D14787EE054C045F63B0061BF4140,74518,0101000020110F0000EB216A9814BB61C1830FF5BF33245041,73874,>1m <=5m,ATBI DATABASE,,1446864891000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272530,3930846,35.495141,-83.507715,Noland Creek,Drinklog Branch,2573.8396,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864891000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F214E14258E054C033304F47FDBE4140,74519,0101000020110F0000EFD63C25F4BA61C1EE41D3B9CB235041,73875,>1m <=5m,ATBI DATABASE,,1446864892000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272733,3930503,35.492098,-83.505383,Noland Creek,Noland Creek,2485.719727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864892000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,74514,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,73870,>1m <=5m,ATBI DATABASE,,1446864889000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864889000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B6B149E6C7C754C01486237D17DF4140,74544,0101000020110F0000AF7D1A7017A661C13FC4CAB455455041,73900,>1m <=5m,ATBI DATABASE,,1446864907000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308155,3957508,35.742897,-83.121572,Big Creek,Big Creek,1988.731201,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864907000,GRSM,UNR,,4,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B7CF4B412ECE54C073BCC56D3BDF4140,74541,0101000020110F0000868CCCE486AB61C1342C54507B455041,73897,>1m <=5m,ATBI DATABASE,,1446864905000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299114,3957830,35.743994,-83.221569,Cosby Creek,Inadu Creek,3066.615479,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864905000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EDB9B77BE9CD54C0289672F682D14140,74542,0101000020110F0000052E607C4CAB61C117A1075122375041,73898,>1m <=5m,ATBI DATABASE,,1446864906000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299225,3945930,35.636802,-83.217372,Straight Fork Raven Fork,Table Rock Branch,3307.49707,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864906000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957312000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9E0297C27CD54C0B58A6F494AD14140,74543,0101000020110F0000BB851AB9A7AA61C1962E4217E7365041,73899,>1m <=5m,ATBI DATABASE,,1446864906000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300293,3945714,35.635073,-83.205531,Straight Fork Raven Fork,Thumper Branch,4163.141602,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864906000,GRSM,UNR,,2,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000008DBC32C354D054C01505E2CBFDCD4140,74539,0101000020110F000079EF9B705AAD61C19F6934C274335041,73895,>1m <=5m,ATBI DATABASE,,1446864904000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295732,3942957,35.609301,-83.25517,Upper Raven Fork,Raven Fork,3749.122803,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864904000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002593C322E4D654C04CF808A919CB4140,74537,0101000020110F000083736EBBECB261C1C6E7C5B06F305041,73893,>1m <=5m,ATBI DATABASE,,1446864903000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286386,3940669,35.586714,-83.35767,Upper Oconaluftee River,,2777.677979,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864903000,GRSM,UNR,,5,,,Kephart Prong Trail,Kephart Prong Trail Pullout Parking # 1,Valid,Viola_canadensis_v_canadensis,Viola  canadensis v. canadensis,42310,Canadian Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1178150400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
